year,month,day,hour,temp,temp_source,rhum,rhum_source,prcp,prcp_source,wdir,wdir_source,wspd,wspd_source,wpgt,wpgt_source,pres,pres_source,cldc,cldc_source,coco,coco_source,datetime
2025,9,20,0,23.0,metar,50.0,metar,0.1,metno_forecast,40,metar,22.0,metar,,,1021.0,metar,4.0,metar,17.0,metno_forecast,2025-09-20 00:00:00
2025,9,20,1,21.0,metar,53.0,metar,0.0,metno_forecast,40,metar,22.0,metar,,,1021.0,metar,4.0,metar,3.0,metno_forecast,2025-09-20 01:00:00
2025,9,20,2,21.0,metar,53.0,metar,0.0,metno_forecast,20,metar,19.0,metar,,,1022.0,metar,4.0,metar,2.0,metno_forecast,2025-09-20 02:00:00
2025,9,20,3,18.1,metno_forecast,89.0,metno_forecast,0.0,metno_forecast,300,metno_forecast,7.9,metno_forecast,,,1017.3,metno_forecast,1.0,metno_forecast,2.0,metno_forecast,2025-09-20 03:00:00
2025,9,20,4,17.4,metno_forecast,94.0,metno_forecast,0.0,metno_forecast,333,metno_forecast,6.5,metno_forecast,,,1017.9,metno_forecast,1.0,metno_forecast,1.0,metno_forecast,2025-09-20 04:00:00
2025,9,20,5,16.9,metno_forecast,97.0,metno_forecast,0.0,metno_forecast,294,metno_forecast,3.6,metno_forecast,,,1018.3,metno_forecast,5.0,metno_forecast,2.0,metno_forecast,2025-09-20 05:00:00
2025,9,20,6,16.7,metno_forecast,97.0,metno_forecast,0.0,metno_forecast,241,metno_forecast,3.2,metno_forecast,,,1018.5,metno_forecast,5.0,metno_forecast,3.0,metno_forecast,2025-09-20 06:00:00
2025,9,20,7,16.3,metno_forecast,96.0,metno_forecast,0.0,metno_forecast,215,metno_forecast,5.4,metno_forecast,,,1018.2,metno_forecast,7.0,metno_forecast,3.0,metno_forecast,2025-09-20 07:00:00
2025,9,20,8,14.1,metno_forecast,98.0,metno_forecast,0.0,metno_forecast,220,metno_forecast,5.8,metno_forecast,,,1017.7,metno_forecast,7.0,metno_forecast,3.0,metno_forecast,2025-09-20 08:00:00
2025,9,20,9,13.6,metno_forecast,97.0,metno_forecast,0.0,metno_forecast,220,metno_forecast,4.7,metno_forecast,,,1017.9,metno_forecast,8.0,metno_forecast,5.0,metno_forecast,2025-09-20 09:00:00
