iter	RMSE
0	19.86874143
1	19.44126142
2	19.01185633
3	18.61603985
4	18.22874719
5	17.83847184
6	17.46515707
7	17.10924366
8	16.7649063
9	16.42748262
10	16.11318591
11	15.7855232
12	15.47714282
13	15.17875467
14	14.89146557
15	14.6148886
16	14.35980927
17	14.11206422
18	13.86491581
19	13.61310285
20	13.38235906
21	13.1421473
22	12.92510711
23	12.71979047
24	12.50123947
25	12.31734339
26	12.12103147
27	11.93746616
28	11.75919849
29	11.59708507
30	11.41557927
31	11.25004032
32	11.09866476
33	10.93892199
34	10.7994038
35	10.65847542
36	10.5326967
37	10.41039838
38	10.29429335
39	10.17265438
40	10.05308162
41	9.941465711
42	9.83262867
43	9.726409911
44	9.615944461
45	9.503034952
46	9.404785863
47	9.3106995
48	9.223009153
49	9.137948005
50	9.045010042
51	8.959961529
52	8.886954339
53	8.806141472
54	8.732276916
55	8.655163432
56	8.586771305
57	8.529805177
58	8.454363996
59	8.379029768
60	8.310846906
61	8.245585464
62	8.182510771
63	8.115343027
64	8.054275417
65	7.988219215
66	7.931741787
67	7.867611061
68	7.814719652
69	7.769968679
70	7.720882067
71	7.675832767
72	7.629526242
73	7.596966099
74	7.555262694
75	7.512189075
76	7.466166608
77	7.421031718
78	7.390208855
79	7.347386494
80	7.314859318
81	7.27969521
82	7.262274307
83	7.221950147
84	7.178500177
85	7.148433187
86	7.107959542
87	7.072936802
88	7.04204015
89	7.016472504
90	6.984526709
91	6.964460108
92	6.938485566
93	6.905852654
94	6.880712232
95	6.852457692
96	6.826842858
97	6.800509732
98	6.769835534
99	6.743383358
100	6.720486505
101	6.705784518
102	6.681233051
103	6.648034799
104	6.629719936
105	6.605392942
106	6.58980504
107	6.573281541
108	6.558109035
109	6.539042335
110	6.517860408
111	6.495408111
112	6.46980857
113	6.450170909
114	6.43119845
115	6.406260637
116	6.389843998
117	6.364740213
118	6.354559725
119	6.33773918
120	6.313481778
121	6.290698728
122	6.280059743
123	6.268192502
124	6.256272632
125	6.239007629
126	6.223151686
127	6.203434426
128	6.181670788
129	6.165547889
130	6.148004421
131	6.139715535
132	6.128604317
133	6.115973514
134	6.100071284
135	6.080360462
136	6.063223543
137	6.046233595
138	6.039579387
139	6.021671959
140	6.00521756
141	5.994808042
142	5.977293997
143	5.960664466
144	5.944569244
145	5.932670681
146	5.917301161
147	5.906709228
148	5.89257265
149	5.883000378
150	5.870816936
151	5.861505892
152	5.852159303
153	5.844378691
154	5.837983479
155	5.824478396
156	5.809680466
157	5.800980562
158	5.788981313
159	5.783045109
160	5.770749475
161	5.758154152
162	5.748601616
163	5.734279205
164	5.724471441
165	5.712438823
166	5.707183414
167	5.694069631
168	5.683300589
169	5.671198479
170	5.662368598
171	5.654376
172	5.646239384
173	5.635210569
174	5.623710832
175	5.614306121
176	5.603143675
177	5.589297768
178	5.581448008
179	5.570851843
180	5.560116787
181	5.550608217
182	5.540264834
183	5.529362489
184	5.517543365
185	5.506764163
186	5.496608377
187	5.487810495
188	5.475654399
189	5.46354633
190	5.449237905
191	5.441084585
192	5.432542536
193	5.430585486
194	5.425375376
195	5.413272569
196	5.403176072
197	5.396285041
198	5.385888077
199	5.382231035
200	5.373228306
201	5.364298054
202	5.356920784
203	5.347380904
204	5.341000128
205	5.333765646
206	5.326044009
207	5.319374775
208	5.310992264
209	5.302152018
210	5.292043861
211	5.281872439
212	5.274411649
213	5.265510038
214	5.25876276
215	5.253782117
216	5.245060427
217	5.235518023
218	5.229964789
219	5.226534569
220	5.21982086
221	5.211562505
222	5.200163076
223	5.194758918
224	5.19249391
225	5.188815806
226	5.178778727
227	5.171606482
228	5.162374599
229	5.15539364
230	5.147689678
231	5.139186205
232	5.13179472
233	5.125203329
234	5.113978988
235	5.10761961
236	5.103573299
237	5.099158736
238	5.091640755
239	5.08591556
240	5.081425196
241	5.080381096
242	5.072471855
243	5.065695051
244	5.059174753
245	5.051277617
246	5.046181436
247	5.040290681
248	5.033544763
249	5.026911547
250	5.021606838
251	5.014904765
252	5.012600787
253	5.004962873
254	4.999957624
255	4.993488847
256	4.988196985
257	4.982497779
258	4.976194167
259	4.969595823
260	4.965070322
261	4.958437499
262	4.952872976
263	4.948241664
264	4.944134809
265	4.936535906
266	4.932654806
267	4.928080643
268	4.922279553
269	4.916629302
270	4.913093784
271	4.906813156
272	4.902430641
273	4.894582599
274	4.887686555
275	4.881623229
276	4.877052193
277	4.872050987
278	4.867368632
279	4.862835181
280	4.859129472
281	4.854615483
282	4.849130851
283	4.844293301
284	4.839837616
285	4.835170034
286	4.829659334
287	4.824092548
288	4.818533462
289	4.814763931
290	4.812721454
291	4.80766146
292	4.804271804
293	4.801379826
294	4.796234738
295	4.790363255
296	4.786457405
297	4.780981242
298	4.778495452
299	4.773640211
300	4.768798194
301	4.764629695
302	4.761033413
303	4.756059578
304	4.754067677
305	4.749092923
306	4.744539076
307	4.740711389
308	4.736045756
309	4.730836737
310	4.725924436
311	4.721067966
312	4.716775721
313	4.711413642
314	4.706662577
315	4.700999878
316	4.697523148
317	4.692823923
318	4.689934337
319	4.685709135
320	4.681766507
321	4.676561134
322	4.671976494
323	4.664216706
324	4.660476515
325	4.656497749
326	4.651710324
327	4.647839842
328	4.643045786
329	4.639616377
330	4.634844787
331	4.631026794
332	4.625813776
333	4.620276927
334	4.61696199
335	4.614616868
336	4.610925586
337	4.607478794
338	4.603543391
339	4.600569484
340	4.598415501
341	4.593035
342	4.589513788
343	4.584856587
344	4.58086045
345	4.575720455
346	4.571915772
347	4.568925004
348	4.565639031
349	4.56068825
350	4.556341086
351	4.553307063
352	4.549309891
353	4.545495408
354	4.541607908
355	4.539267275
356	4.536028686
357	4.531803003
358	4.527393216
359	4.52349389
360	4.519156935
361	4.516082065
362	4.511778457
363	4.50656317
364	4.503424476
365	4.49986277
366	4.49625817
367	4.491552349
368	4.487088289
369	4.48488471
370	4.481004187
371	4.47602627
372	4.472336003
373	4.467693924
374	4.461051876
375	4.457675451
376	4.452638493
377	4.448227231
378	4.445114327
379	4.441531859
380	4.438133328
381	4.433573239
382	4.430320851
383	4.427026404
384	4.423470522
385	4.419250555
386	4.416267096
387	4.412672712
388	4.408578637
389	4.405165685
390	4.401656785
391	4.398433208
392	4.395429216
393	4.392466676
394	4.38971571
395	4.386678903
396	4.382790807
397	4.379828961
398	4.377025537
399	4.373266688
400	4.369699568
401	4.36543022
402	4.362490208
403	4.356896714
