iter	Passed	Remaining
0	70	105760
1	91	68186
2	108	53995
3	125	46876
4	143	42784
5	159	39825
6	176	37722
7	194	36211
8	212	35150
9	229	34142
10	246	33336
11	263	32637
12	281	32176
13	299	31764
14	316	31286
15	333	30968
16	350	30577
17	368	30319
18	386	30122
19	403	29850
20	421	29711
21	438	29472
22	456	29339
23	473	29125
24	490	28947
25	508	28805
26	524	28606
27	542	28521
28	560	28448
29	577	28298
30	596	28276
31	614	28167
32	631	28087
33	648	27981
34	666	27877
35	684	27831
36	702	27764
37	719	27689
38	736	27586
39	754	27521
40	770	27429
41	787	27333
42	805	27306
43	822	27210
44	838	27116
45	855	27030
46	873	26997
47	889	26913
48	907	26879
49	924	26799
50	940	26717
51	956	26641
52	974	26610
53	991	26546
54	1007	26479
55	1025	26441
56	1042	26384
57	1059	26341
58	1078	26333
59	1094	26272
60	1111	26219
61	1128	26169
62	1145	26126
63	1163	26100
64	1180	26053
65	1202	26120
66	1219	26093
67	1236	26036
68	1253	25994
69	1270	25945
70	1286	25895
71	1304	25882
72	1322	25857
73	1341	25852
74	1359	25824
75	1378	25822
76	1395	25782
77	1411	25736
78	1428	25693
79	1444	25646
80	1461	25606
81	1477	25558
82	1494	25519
83	1512	25501
84	1529	25468
85	1546	25419
86	1562	25379
87	1579	25344
88	1596	25303
89	1614	25292
90	1631	25255
91	1647	25215
92	1664	25182
93	1682	25170
94	1699	25135
95	1716	25099
96	1732	25065
97	1751	25054
98	1770	25051
99	1790	25061
100	1806	25028
101	1823	24998
102	1842	24983
103	1859	24954
104	1875	24920
105	1893	24906
106	1910	24874
107	1927	24844
108	1944	24811
109	1961	24790
110	1980	24781
111	1996	24745
112	2013	24719
113	2030	24684
114	2048	24665
115	2066	24655
116	2084	24642
117	2101	24607
118	2119	24596
119	2136	24572
120	2155	24566
121	2174	24560
122	2194	24570
123	2213	24559
124	2232	24553
125	2248	24521
126	2265	24495
127	2283	24481
128	2301	24457
129	2319	24440
130	2337	24425
131	2354	24401
132	2373	24390
133	2389	24356
134	2405	24325
135	2422	24294
136	2439	24265
137	2456	24244
138	2473	24215
139	2491	24199
140	2508	24175
141	2525	24149
142	2543	24138
143	2560	24110
144	2578	24097
145	2594	24065
146	2612	24048
147	2631	24035
148	2647	24007
149	2665	23993
150	2684	23980
151	2701	23961
152	2719	23944
153	2736	23915
154	2753	23892
155	2770	23866
156	2789	23859
157	2806	23840
158	2827	23846
159	2844	23819
160	2861	23795
161	2880	23792
162	2897	23765
163	2915	23750
164	2931	23719
165	2948	23692
166	2965	23669
167	2981	23642
168	3000	23628
169	3019	23620
170	3037	23605
171	3053	23578
172	3070	23555
173	3089	23543
174	3107	23530
175	3125	23509
176	3143	23494
177	3160	23471
178	3177	23446
179	3193	23422
180	3213	23419
181	3234	23422
182	3254	23423
183	3276	23437
184	3298	23442
185	3319	23453
186	3339	23449
187	3361	23459
188	3380	23448
189	3397	23423
190	3415	23405
191	3431	23379
192	3451	23370
193	3469	23359
194	3488	23344
195	3506	23326
196	3527	23333
197	3548	23331
198	3565	23310
199	3584	23296
200	3601	23276
201	3621	23270
202	3643	23277
203	3661	23264
204	3681	23254
205	3698	23232
206	3715	23208
207	3733	23190
208	3754	23193
209	3772	23175
210	3789	23149
211	3806	23124
212	3823	23100
213	3840	23076
214	3856	23048
215	3874	23032
216	3892	23014
217	3909	22991
218	3926	22964
219	3944	22947
220	3962	22932
221	3980	22915
222	3997	22890
223	4015	22874
224	4032	22850
225	4049	22826
226	4066	22802
227	4084	22784
228	4101	22764
229	4118	22739
230	4135	22716
231	4153	22702
232	4170	22678
233	4191	22676
234	4209	22660
235	4227	22641
236	4244	22617
237	4261	22594
238	4277	22569
239	4294	22544
240	4310	22520
241	4328	22499
242	4345	22481
243	4365	22470
244	4382	22448
245	4398	22424
246	4416	22401
247	4434	22385
248	4450	22361
249	4469	22345
250	4487	22327
251	4505	22310
252	4521	22285
253	4539	22270
254	4556	22246
255	4573	22222
256	4589	22197
257	4607	22182
258	4625	22162
259	4642	22140
260	4660	22122
261	4678	22106
262	4695	22083
263	4712	22063
264	4730	22047
265	4747	22024
266	4765	22009
267	4782	21987
268	4801	21971
269	4819	21953
270	4836	21934
271	4853	21911
272	4871	21894
273	4889	21879
274	4906	21857
275	4924	21839
276	4942	21823
277	4959	21800
278	4976	21780
279	4993	21758
280	5010	21737
281	5027	21716
282	5045	21699
283	5062	21677
284	5080	21660
285	5099	21646
286	5117	21629
287	5136	21615
288	5156	21605
289	5172	21581
290	5189	21558
291	5207	21543
292	5224	21521
293	5242	21504
294	5260	21487
295	5277	21467
296	5294	21443
297	5310	21421
298	5328	21404
299	5346	21384
300	5362	21361
301	5381	21346
302	5397	21324
303	5414	21303
304	5431	21279
305	5448	21257
306	5464	21235
307	5481	21214
308	5498	21192
309	5516	21176
310	5534	21158
311	5551	21136
312	5568	21116
313	5586	21099
314	5602	21076
315	5619	21055
316	5636	21034
317	5654	21018
318	5672	21002
319	5690	20985
320	5708	20968
321	5726	20948
322	5742	20925
323	5759	20903
324	5775	20881
325	5792	20859
326	5809	20839
327	5825	20816
328	5842	20795
329	5859	20774
330	5875	20752
331	5894	20735
332	5910	20713
333	5928	20696
334	5945	20676
335	5962	20655
336	5979	20635
337	5996	20614
338	6014	20599
339	6032	20583
340	6051	20566
341	6067	20544
342	6085	20528
343	6103	20510
344	6120	20489
345	6136	20467
346	6155	20452
347	6172	20432
348	6189	20411
349	6207	20396
350	6226	20382
351	6244	20365
352	6261	20345
353	6279	20327
354	6297	20311
355	6313	20289
356	6333	20278
357	6350	20256
358	6367	20236
359	6385	20220
360	6403	20203
361	6419	20181
362	6438	20166
363	6455	20148
364	6472	20127
365	6489	20105
366	6505	20084
367	6522	20064
368	6538	20042
369	6558	20030
370	6575	20010
371	6594	19995
372	6611	19977
373	6628	19956
374	6646	19938
375	6662	19917
376	6680	19898
377	6696	19877
378	6714	19861
379	6732	19843
380	6749	19822
381	6765	19801
382	6784	19785
383	6801	19766
384	6818	19745
385	6834	19723
386	6852	19706
387	6869	19686
388	6885	19664
389	6902	19646
390	6919	19625
391	6935	19604
392	6953	19585
393	6970	19565
394	6988	19549
395	7006	19533
396	7023	19512
397	7042	19498
398	7059	19479
399	7077	19462
400	7095	19445
401	7112	19425
402	7129	19407
403	7148	19391
404	7165	19374
405	7182	19353
406	7200	19336
407	7218	19320
408	7243	19321
409	7263	19310
410	7280	19290
411	7297	19270
412	7314	19250
413	7332	19235
414	7349	19214
415	7367	19197
416	7384	19177
417	7400	19156
418	7417	19136
419	7433	19115
420	7450	19095
421	7469	19079
422	7486	19060
423	7502	19039
424	7520	19023
425	7537	19003
426	7554	18982
427	7571	18963
428	7588	18944
429	7606	18927
430	7622	18907
431	7640	18888
432	7657	18869
433	7674	18849
434	7690	18829
435	7709	18814
436	7725	18792
437	7744	18778
438	7764	18766
439	7781	18746
440	7799	18728
441	7816	18709
442	7834	18692
443	7850	18672
444	7868	18654
445	7886	18638
446	7905	18622
447	7924	18608
448	7941	18589
449	7960	18574
450	7980	18562
451	7999	18548
452	8018	18531
453	8036	18516
454	8055	18500
455	8072	18482
456	8090	18463
457	8108	18448
458	8126	18431
459	8145	18414
460	8161	18393
461	8179	18376
462	8197	18361
463	8215	18344
464	8232	18324
465	8251	18309
466	8270	18294
467	8289	18278
468	8307	18263
469	8328	18251
470	8344	18230
471	8362	18213
472	8380	18196
473	8398	18179
474	8416	18162
475	8434	18144
476	8452	18128
477	8470	18110
478	8488	18093
479	8505	18073
480	8521	18053
481	8538	18033
482	8555	18014
483	8572	17994
484	8589	17975
485	8606	17956
486	8623	17936
487	8639	17916
488	8656	17898
489	8675	17881
490	8693	17864
491	8711	17847
492	8727	17827
493	8744	17807
494	8761	17788
495	8777	17768
496	8794	17748
497	8811	17729
498	8829	17711
499	8847	17695
500	8865	17678
501	8882	17659
502	8899	17639
503	8917	17622
504	8936	17606
505	8952	17586
506	8969	17567
507	8986	17548
508	9004	17532
509	9023	17516
510	9040	17496
511	9057	17477
512	9073	17457
513	9092	17441
514	9108	17420
515	9125	17401
516	9141	17381
517	9160	17365
518	9176	17345
519	9194	17328
520	9212	17310
521	9228	17290
522	9247	17274
523	9265	17258
524	9282	17238
525	9299	17219
526	9316	17201
527	9333	17182
528	9350	17163
529	9367	17144
530	9384	17125
531	9402	17108
532	9419	17088
533	9436	17070
534	9453	17051
535	9471	17035
536	9488	17016
537	9507	17001
538	9524	16982
539	9542	16964
540	9560	16946
541	9576	16927
542	9593	16908
543	9610	16888
544	9628	16872
545	9646	16855
546	9663	16836
547	9682	16820
548	9699	16802
549	9716	16783
550	9735	16767
551	9751	16747
552	9768	16728
553	9785	16708
554	9801	16689
555	9820	16672
556	9838	16655
557	9854	16635
558	9872	16619
559	9889	16600
560	9906	16581
561	9924	16564
562	9942	16547
563	9960	16529
564	9977	16511
565	9995	16494
566	10013	16477
567	10032	16461
568	10050	16445
569	10067	16426
570	10084	16407
571	10101	16387
572	10119	16370
573	10135	16351
574	10153	16334
575	10171	16316
576	10190	16301
577	10208	16283
578	10224	16264
579	10242	16246
580	10259	16227
581	10276	16208
582	10293	16190
583	10309	16170
584	10327	16152
585	10345	16136
586	10364	16120
587	10380	16100
588	10399	16084
589	10416	16065
590	10434	16048
591	10452	16031
592	10468	16012
593	10486	15995
594	10505	15978
595	10522	15960
596	10540	15943
597	10557	15924
598	10574	15905
599	10590	15886
600	10608	15868
601	10626	15851
602	10645	15835
603	10662	15816
604	10679	15798
605	10695	15778
606	10713	15761
607	10730	15742
608	10748	15725
609	10764	15706
610	10781	15687
611	10799	15670
612	10816	15651
613	10834	15634
614	10851	15615
615	10868	15596
616	10885	15578
617	10901	15558
618	10919	15541
619	10937	15523
620	10953	15504
621	10972	15488
622	10990	15471
623	11009	15455
624	11025	15436
625	11042	15417
626	11060	15400
627	11077	15381
628	11094	15363
629	11111	15344
630	11128	15325
631	11144	15306
632	11161	15287
633	11178	15269
634	11197	15253
635	11215	15235
636	11236	15222
637	11255	15207
638	11272	15188
639	11289	15170
640	11308	15154
641	11326	15136
642	11344	15119
643	11362	15103
644	11379	15084
645	11396	15065
646	11413	15046
647	11430	15029
648	11449	15012
649	11465	14993
650	11482	14974
651	11499	14956
652	11515	14937
653	11534	14920
654	11551	14901
655	11567	14882
656	11584	14864
657	11602	14847
658	11619	14828
659	11636	14809
660	11653	14791
661	11669	14772
662	11686	14753
663	11704	14736
664	11722	14719
665	11739	14700
666	11756	14681
667	11773	14663
668	11789	14644
669	11806	14625
670	11822	14606
671	11839	14588
672	11857	14571
673	11876	14554
674	11894	14537
675	11910	14518
676	11929	14501
677	11946	14483
678	11963	14465
679	11981	14447
680	11997	14428
681	12013	14409
682	12030	14390
683	12048	14373
684	12065	14355
685	12082	14336
686	12100	14320
687	12118	14302
688	12135	14284
689	12154	14268
690	12172	14250
691	12190	14233
692	12208	14216
693	12226	14199
694	12245	14183
695	12263	14166
696	12280	14147
697	12296	14128
698	12313	14110
699	12332	14093
700	12350	14076
701	12366	14057
702	12383	14039
703	12401	14022
704	12420	14006
705	12440	13991
706	12458	13973
707	12475	13955
708	12492	13937
709	12510	13920
710	12529	13903
711	12547	13886
712	12564	13868
713	12582	13851
714	12599	13833
715	12616	13814
716	12633	13796
717	12651	13779
718	12668	13760
719	12686	13743
720	12702	13724
721	12720	13706
722	12736	13688
723	12755	13671
724	12773	13654
725	12790	13635
726	12806	13617
727	12825	13600
728	12841	13581
729	12860	13564
730	12876	13546
731	12894	13528
732	12911	13510
733	12928	13492
734	12946	13475
735	12964	13457
736	12982	13440
737	13000	13423
738	13018	13406
739	13036	13389
740	13054	13371
741	13071	13353
742	13088	13334
743	13106	13317
744	13122	13298
745	13139	13280
746	13156	13261
747	13173	13243
748	13189	13224
749	13206	13206
750	13223	13188
751	13240	13169
752	13256	13151
753	13273	13132
754	13289	13113
755	13307	13096
756	13325	13078
757	13341	13060
758	13358	13042
759	13376	13024
760	13394	13006
761	13410	12988
762	13427	12969
763	13445	12952
764	13463	12935
765	13482	12919
766	13499	12901
