year,month,day,hour,temp,temp_source,rhum,rhum_source,prcp,prcp_source,wdir,wdir_source,wspd,wspd_source,wpgt,wpgt_source,pres,pres_source,cldc,cldc_source,coco,coco_source,datetime
2025,9,20,0,28.0,metar,70,metar,0.3,dwd_mosmix,90,metar,13.0,metar,,,1015.0,metar,4,metar,1.0,dwd_mosmix,2025-09-20 00:00:00
2025,9,20,1,27.0,metar,74,metar,0.0,dwd_mosmix,130,metar,19.0,metar,,,1016.0,metar,6,metar,2.0,dwd_mosmix,2025-09-20 01:00:00
2025,9,20,2,24.0,metar,94,metar,0.0,dwd_mosmix,140,metar,17.0,metar,,,1017.0,metar,4,metar,7.0,metar,2025-09-20 02:00:00
2025,9,20,3,23.0,metar,100,metar,0.0,dwd_mosmix,110,metar,4.0,metar,,,1017.0,metar,4,dwd_mosmix,2.0,dwd_mosmix,2025-09-20 03:00:00
2025,9,20,4,23.0,metar,89,metar,0.0,dwd_mosmix,40,metar,11.0,metar,,,1017.0,metar,4,dwd_mosmix,2.0,dwd_mosmix,2025-09-20 04:00:00
2025,9,20,5,23.0,metar,94,metar,0.0,dwd_mosmix,250,metar,4.0,metar,,,1017.0,metar,6,metar,3.0,dwd_mosmix,2025-09-20 05:00:00
2025,9,20,6,23.4,dwd_mosmix,98,dwd_mosmix,0.0,dwd_mosmix,17,dwd_mosmix,1.8,dwd_mosmix,,,1016.1,dwd_mosmix,4,dwd_mosmix,2.0,dwd_mosmix,2025-09-20 06:00:00
2025,9,20,7,23.2,dwd_mosmix,98,dwd_mosmix,0.0,dwd_mosmix,208,dwd_mosmix,3.7,dwd_mosmix,,,1015.1,dwd_mosmix,4,dwd_mosmix,2.0,dwd_mosmix,2025-09-20 07:00:00
2025,9,20,8,23.1,dwd_mosmix,96,dwd_mosmix,0.0,dwd_mosmix,180,dwd_mosmix,3.7,dwd_mosmix,,,1014.1,dwd_mosmix,4,dwd_mosmix,2.0,dwd_mosmix,2025-09-20 08:00:00
2025,9,20,9,22.9,dwd_mosmix,95,dwd_mosmix,0.0,dwd_mosmix,203,dwd_mosmix,3.7,dwd_mosmix,,,1014.1,dwd_mosmix,5,dwd_mosmix,2.0,dwd_mosmix,2025-09-20 09:00:00
2025,9,20,10,22.2,dwd_mosmix,94,dwd_mosmix,0.0,dwd_mosmix,246,dwd_mosmix,5.5,dwd_mosmix,,,1014.8,dwd_mosmix,4,dwd_mosmix,3.0,dwd_mosmix,2025-09-20 10:00:00
2025,9,20,11,21.5,dwd_mosmix,93,dwd_mosmix,0.0,dwd_mosmix,261,dwd_mosmix,5.5,dwd_mosmix,,,1015.6,dwd_mosmix,4,dwd_mosmix,4.0,dwd_mosmix,2025-09-20 11:00:00
2025,9,20,12,23.0,metar,94,metar,0.0,dwd_mosmix,140,metar,4.0,metar,,,1018.0,metar,8,metar,4.0,dwd_mosmix,2025-09-20 12:00:00
2025,9,20,13,24.0,metar,89,metar,0.0,dwd_mosmix,80,metar,4.0,metar,,,1018.0,metar,6,metar,4.0,dwd_mosmix,2025-09-20 13:00:00
2025,9,20,14,25.0,metar,84,metar,0.0,dwd_mosmix,110,metar,7.0,metar,,,1019.0,metar,4,metar,3.0,dwd_mosmix,2025-09-20 14:00:00
2025,9,20,15,27.0,metar,74,metar,0.0,dwd_mosmix,100,metar,9.0,metar,,,1019.0,metar,2,metar,3.0,dwd_mosmix,2025-09-20 15:00:00
2025,9,20,16,28.0,metar,70,metar,0.0,dwd_mosmix,130,metar,9.0,metar,,,1019.0,metar,6,metar,2.0,dwd_mosmix,2025-09-20 16:00:00
