speedLimit,distance,segmentProbeCounts_num,emissionProxy,isHighway,temp,rhum,wspd,pres,cldc,coco,hour,day,month,y_true,y_pred
60,26.04,286511,7460746.439999999,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,56.75,26326,1494000.5,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
80,114.67,473,54238.91,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
80,66.95,52,3481.4,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,30.59,94236,2882679.24,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,50.14,12033,603334.62,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,23.96,115743,2773202.2800000003,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,24.79,38863,963413.77,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
50,26.25,201254,5282917.5,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
80,16.62,8522,141635.64,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
23,6.74,33528,225978.72,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,34.04,140619,4786670.76,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
56,28.34,6112,173214.08,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,34.05,6023,205083.15,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
50,116.39,22311,2596777.29,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,48.45,102386,4960601.7,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,11.4,132981,1515983.4,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
40,20.09,270039,5425083.51,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
41,102.97,86,8855.42,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,63.04,49758,3136744.32,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,9.86,6997,68990.42,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,136.24,30496,4154775.040000001,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
40,29.24,28140,822813.6,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,6.17,10105,62347.85,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
110,139.8,23318,3259856.4000000004,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,16.28,102297,1665395.16,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,34.02,6857,233275.14,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,61.47,130453,8018945.91,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,83.4,39946,3331496.4000000004,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
30,8.99,71773,645239.27,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,181.97,88080,16027917.6,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
30,43.36,5807,251791.52,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,7.16,51367,367787.72,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,10.96,18512,202891.52,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,86.26,43795,3777756.7,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,48.59,18123,880596.5700000001,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,107.86,27634,2980603.24,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,138.36,35972,4977085.920000001,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
